"Country","Region","Population","Under15","Over60","FertilityRate","LifeExpectancy","CellularSubscribers","RRC_Under15","RRC_Over60","RRC_FertilityRate","RRC_LifeExpectancy","RRC_CellularSubscribers","kmeans"
"Afghanistan","Eastern Mediterranean",29825,47.42,3.82,5.4,60,54.26,1.73563731054564,-1.00351263296738,1.6572384191822,-1.04831265367214,-0.947459028296016,"3"
"Albania","Europe",3162,21.33,14.93,1.75,74,96.39,-0.69931334989076,0.539830541666492,-0.797781829637273,0.450126306766764,0.0689451017336924,"2"
"Algeria","Africa",38482,27.42,7.17,2.83,73,98.99,-0.130940428386058,-0.53814812936491,-0.0713648793016479,0.3430949524497,0.131671205177254,"1"
"Angola","Africa",20821,47.58,3.84,6.1,51,48.38,1.75056993245709,-1.00073433742349,2.12806422032566,-2.01159484252572,-1.08931652377607,"3"
"Antigua and Barbuda","Americas",89,25.96,12.35,2.12,75,196.41,-0.267200603328072,0.181430416503989,-0.548916763318587,0.557157661083828,2.4819700503587,"2"
"Argentina","Americas",41087,24.42,14.97,2.2,76,134.92,-0.410927089225813,0.545387132754283,-0.495108100330763,0.664189015400893,0.998497703918469,"2"
"Armenia","Europe",2969,20.34,14.06,1.74,71,103.57,-0.791708947967879,0.418974685507043,-0.804507912510751,0.129032243815571,0.242165648935527,"2"
"Australia","Western Pacific",23050,18.95,19.46,1.89,82,108.34,-0.921436100823632,1.16911448235879,-0.703616669408581,1.30637714130328,0.357243923330061,"2"
"Austria","Europe",8464,14.51,23.52,1.44,81,154.78,-1.33581635886647,1.73310847776955,-1.00629039871509,1.19934578698621,1.47762863252967,"2"
"Azerbaijan","Europe",9309,22.25,8.24,1.96,71,108.75,-0.613450773899902,-0.389509317766508,-0.656534089294235,0.129032243815571,0.367135347334623,"1"
"Bahamas","Americas",372,21.62,11.24,1.9,75,86.06,-0.672247972676251,0.0272350138177967,-0.696890586535103,0.557157661083828,-0.180270532332457,"1"
"Bahrain","Eastern Mediterranean",1318,20.16,3.38,2.12,79,127.96,-0.808508147618265,-1.06463513493308,-0.548916763318587,0.985283078352086,0.830584750084936,"1"
"Bangladesh","South-East Asia",155000,30.57,6.89,2.24,70,56.06,0.163045565495684,-0.577044266979446,-0.468203768836851,0.0220008894985069,-0.90403326437355,"1"
"Barbados","Americas",283,18.99,15.78,1.84,78,127.01,-0.917702945345769,0.657908102282045,-0.737247083775971,0.878251724035021,0.807665596903635,"2"
"Belarus","Europe",9405,15.1,19.31,1.47,71,111.88,-1.28075231556798,1.14827726577958,-0.986112150094658,0.129032243815571,0.44264792571091,"2"
"Belgium","Europe",11060,16.88,23.81,1.85,80,116.61,-1.11462689680306,1.77339376315603,-0.730521000902493,1.09231443266915,0.556761183129389,"2"
"Belize","Americas",324,34.4,5.74,2.76,74,69.96,0.520495202501103,-0.736796260753429,-0.118447459415994,0.450126306766764,-0.56868986519451,"1"
"Benin","Africa",10051,42.95,4.54,5.01,57,85.33,1.3184571858944,-0.903493993387151,1.39492118711656,-1.36940671662333,-0.197882092145457,"3"
"Bhutan","South-East Asia",742,28.53,6.9,2.32,67,65.58,-0.0273453638753493,-0.575655119207498,-0.414395105849027,-0.299093173452686,-0.67435922407251,"1"
"Bolivia (Plurinational State of)","Americas",10496,35.23,7.28,3.31,67,82.82,0.597958178666769,-0.522867503873486,0.251487098625297,-0.299093173452686,-0.258436907392895,"1"
"Bosnia and Herzegovina","Europe",3834,16.35,20.52,1.26,76,84.52,-1.16409120688475,1.31636414618525,-1.1273598904377,0.664189015400893,-0.217423685910567,"2"
"Botswana","Africa",2004,33.75,5.63,2.71,66,142.82,0.459831425985823,-0.752076886244854,-0.152077873783384,-0.40612452776975,1.18908855668929,"1"
"Brazil","Americas",199000,24.56,10.81,1.82,74,124.26,-0.397861045053291,-0.0324983403759537,-0.750699249522927,0.450126306766764,0.741320679799868,"1"
"Brunei Darussalam","Western Pacific",412,25.75,7.03,2.03,77,109.17,-0.286799669586855,-0.557596198172178,-0.609451509179889,0.771220369717957,0.377268025583198,"1"
"Bulgaria","Europe",7278,13.53,26.11,1.51,74,140.68,-1.42727866807412,2.092897750704,-0.959207818600746,0.450126306766764,1.13746014847036,"2"
"Burkina Faso","Africa",16460,45.66,3.88,5.78,56,45.27,1.57137846951965,-0.995177746335698,1.91282956837437,-1.47643807094039,-1.16434659366433,"3"
"Burundi","Africa",9850,44.2,3.87,6.21,53,22.33,1.43511829457764,-0.996566894107646,2.20205113193392,-1.79753213389159,-1.71778382943175,"3"
"Cambodia","Western Pacific",14865,31.23,7.67,2.93,65,96.17,0.22464263088043,-0.468690740767526,-0.00410405056686773,-0.513155882086815,0.0636375083653911,"1"
"Cameroon","Africa",21700,43.08,4.89,4.94,53,52.35,1.33058994119746,-0.854873821368982,1.34783860700221,-1.79753213389159,-0.993538588902632,"3"
"Canada","Americas",34838,16.37,20.82,1.66,82,79.73,-1.16222462914582,1.35803857934368,-0.858316575498576,1.30637714130328,-0.332984468793128,"2"
"Cape Verde","Africa",494,30.17,7.05,2.38,72,79.19,0.12571401071705,-0.554817902628283,-0.374038608608159,0.236063598132636,-0.346012197969868,"1"
